document_id,borough,zip,block,lot,address,recorded_date,doc_amount,doc_type
2026081200997001,Queens,11429,11235,63,21929 113TH DRIVE,2026-08-17,16451.39,MTGE
2026081300120001,Queens,11434,12254,7,122-37 LAKEVIEW LANE,2026-08-17,110031.23,MTGE
2026081300291001,Queens,11378,2368,42,54-40 63 PLACE,2026-08-17,41573.72,MTGE
2026081200235001,Brooklyn,11236,4748,9,8803 AVENUE B,2026-08-14,35358.76,MTGE
2026081300070001,Bronx,10469,4785,40,2904 KINGSLAND AVE,2026-08-13,46398.5,MTGE
2026081000361001,Queens,11428,10545,95,211-07 JAMAICA AVENUE,2026-08-12,176209.36,MTGE
2026081000496001,Queens,11429,11151,63,N/A MONTEREY STREET,2026-08-12,39356.75,MTGE
2026081000574001,Brooklyn,11234,7762,44,887 EAST 58TH STREET,2026-08-12,49909.92,MTGE
2026081100050002,Brooklyn,,6768,1021,1689 EAST 21 STREET,2026-08-12,261107.17,MTGE
2026081100050002,Brooklyn,,6768,1006,1689 EAST 21 STREET,2026-08-12,261107.17,MTGE
2026081101050001,Bronx,10469,4761,28,FENTON AVE BRONX NY,2026-08-12,35998.66,MTGE
2026080300812001,Queens,11691,15968,32,460 BEACH 46TH ST,2026-08-11,27917.33,MTGE
2026080400918001,Bronx,10466,4979,54,4079 GRACE AVE,2026-08-11,16256.31,MTGE
2026080500473001,Bronx,10466,4959,31,3972 HILL AVE,2026-08-11,16793.9,MTGE
2026080500722001,Queens,11433,10172,2,108-47 164 STREET,2026-08-11,14961.75,MTGE
2026080700854001,Brooklyn,11203,4674,2,702 LINDEN BLVD,2026-08-11,73812.97,MTGE
2026080600026001,Queens,11434,12591,223,173-03 143 ROAD,2026-08-10,15024.11,MTGE
2026080600028001,Queens,11413,12825,215,121-24 FRANCIS LEWIS BLVD,2026-08-10,37621.51,MTGE
2026080600041001,Queens,11411,11314,19,115-84 233 STREET,2026-08-10,42844.24,MTGE
2026080600046001,Queens,11413,13119,26,135-17 224 STREET,2026-08-10,7484.57,MTGE
2026080600113001,Queens,11429,11160,102,22346 103RD AVE,2026-08-10,19802.68,MTGE
2026080600295001,Queens,11411,12799,26,12003 SPRINGFIELD BLVD,2026-08-10,46660.68,MTGE
2026080600329001,Queens,11426,7999,55,9301 239TH STREET,2026-08-10,305343.22,MTGE
2026080600517001,Queens,11412,12682,4,120-05 196 STREET,2026-08-10,0,MTGE
2026080700461001,Brooklyn,11213,1349,5,101 UTICA AVENUE,2026-08-10,0,MTGE
2026080400798001,Queens,11434,12204,155,153-30 FOCH BOULEVARD,2026-08-07,19733.81,MTGE
2026080500026001,Queens,11423,10466,74,90-74 198 STREET,2026-08-07,42115.37,MTGE
2026080600106001,Brooklyn,11203,4893,43,299 EAST 39 STREET,2026-08-07,44209.69,MTGE
2026080600714001,Bronx,10466,4941,8,15 HARPER CT,2026-08-07,26196.95,MTGE
2026080600854001,Bronx,10465,5526,117,4386 LOCUST POINT DRIVE,2026-08-07,37506.29,MTGE
2026080700381001,Bronx,10466,4820,34,3962 BRONX BOULEVARD,2026-08-07,66784.02,MTGE
2026073000343001,Queens,11375,2170,13,108-16 64 AVENUE,2026-08-06,80911.35,MTGE
2026080300560001,Queens,11692,16046,70,69-56 HILLMEYER AVENUE,2026-08-06,26202.46,MTGE
2026080301029001,Queens,11416,9000,37,95-23 75TH STR OZONE PARK NY 11416,2026-08-06,20320.97,MTGE
2026080400015001,Queens,11435,11962,50,111-12 146TH ST,2026-08-06,188519.17,MTGE
2026080400925001,Brooklyn,11212,3624,40,570 CHESTER STREET,2026-08-06,77115.22,MTGE
2026080500186001,Bronx,10456,2369,61,505 WEIHER COURT,2026-08-06,0,MTGE
2026080500429001,Bronx,10466,4941,9,21 HARPER COURT,2026-08-06,29246.3,MTGE
2026073100993001,Queens,11433,10255,22,10832 172ND STREET,2026-08-05,31350.7,MTGE
2026080301127001,Brooklyn,11233,1544,48,111 TRUXTON STREET,2026-08-05,62139.62,MTGE
2026080400374001,Brooklyn,11203,4700,34,376 EAST 53 STREET,2026-08-05,22447.28,MTGE
2026073100509002,Bronx,10469,4495,51,2411 DELANOY AVENUE,2026-08-04,1260000,MTGE
2026073100882001,Queens,11434,12209,152,118-30 155TH ST,2026-08-04,12818.86,MTGE
2026080300020001,Brooklyn,11234,8353,33,1262 EAST 68 STREET,2026-08-04,74952.68,MTGE
2026080300713001,Brooklyn,11208,4003,6,441 LINWOOD ST,2026-08-04,58063.62,MTGE
2026080300810001,Brooklyn,11236,8165,19,1043 EAST 96 STREET,2026-08-04,23381.57,MTGE
2026073000604001,Bronx,10456,2783,10,1312 COLLEGE AVENUE,2026-08-03,16220.88,MTGE
2026073000869001,Brooklyn,11236,8001,16,755 EAST 80 STREET,2026-08-03,33346.08,MTGE
2026073100517001,Brooklyn,11203,4722,9,5022 SNYDER AVENUE,2026-08-03,76047.96,MTGE
2026073100608001,Brooklyn,,8374,1414,1932 BERGEN AVENUE,2026-08-03,3372.05,MTGE
2026073100935001,Brooklyn,11236,8075,38,1309 EAST 84 STREET,2026-08-03,20959.53,MTGE
2026070801167003,Queens,11361,7325,58,211-23 47 AVENUE,2026-07-31,1260000,MTGE
2026073000221001,Queens,11691,15965,9,412 BEACH 44 STREET,2026-07-31,11268.92,MTGE
2026072900699001,Brooklyn,11234,8403,62,2048 EAST 61 STREET,2026-07-31,216284.08,MTGE
2026032600556001,Queens,11413,13120,35,135-01 225TH STREET,2026-07-30,42303.06,MTGE
2026072900036001,Queens,11417,9130,16,105-24 78TH ST,2026-07-30,182839.86,MTGE
2026072900042001,Queens,11691,15660,40,1383 PINSON ST,2026-07-30,36277.46,MTGE
2026072900254002,Brooklyn,11213,1372,6,199 SCHENECTADY AVE,2026-07-30,45501,MTGE
2026072900346001,Queens,11413,13510,4,23001 144TH AVENUE,2026-07-30,39381.76,MTGE
2026072700030001,Brooklyn,11234,7831,59,1416 EAST 52 STREET,2026-07-29,38470.62,MTGE
2026072700934001,Brooklyn,11213,1373,68,1475 STERLING PLACE,2026-07-29,40495.98,MTGE
2026072800247002,Brooklyn,11236,8287,13,1361 EAST 103 STREET,2026-07-29,982500,MTGE
2026072400080001,Bronx,10466,4833,33,649 EAST 230 STREET,2026-07-28,19781.98,MTGE
2026072400595001,Queens,11416,9408,19,9730 107TH ST,2026-07-28,57907.67,MTGE
2026072700303002,Brooklyn,11234,7853,80,1368 EAST 56 STREET,2026-07-28,19402.12,MTGE
2026072700638001,Brooklyn,11236,8050,13,1169 EAST 84 STREET,2026-07-28,25196.43,MTGE
2026072700839001,Bronx,10469,4556,46,29-57 LURTING AVE BRONX NY 10469,2026-07-28,148601.05,MTGE
2026070801072001,Queens,11378,2831,61,59-21 69 PLACE,2026-07-27,45799.39,MTGE
2026072300011001,Bronx,10461,4242,20,2870 E 196TH STREET,2026-07-27,53740.87,MTGE
2026072300841001,Queens,11436,12114,18,13335 147TH ST,2026-07-27,41849.3,MTGE
2026072200401001,Queens,11411,11266,28,11432 223RD STREET,2026-07-24,38270.35,MTGE
2026072200971001,Queens,11434,12573,52,137-18 168 STREET,2026-07-24,20166.82,MTGE
2026072300012001,Queens,11426,8657,32,244-52 90TH AVE,2026-07-24,201717.87,MTGE
2026071001023001,Queens,11413,13014,39,135-16 217TH ST,2026-07-23,32537.79,MTGE
2026072100675002,Bronx,10469,4634,55,3338 BRONXWOOD AVE,2026-07-23,9607.81,MTGE
2026072100825001,Bronx,10473,3531,180,2060 CICERO AVENUE,2026-07-23,55810.77,MTGE
2026072100922001,Queens,11413,12856,11,AVE SPRINGFIELD GARDENS NY,2026-07-23,41693.81,MTGE
2026072100952001,Queens,11411,11264,63,114-40 221 STREET,2026-07-23,63403.27,MTGE
2026072200109001,Bronx,10466,4987,56,4051 SETON AVENUE,2026-07-23,23679.96,MTGE
2026072200578002,Brooklyn,11203,4989,122,690 EAST 43 STREET,2026-07-23,1200000,MTGE
2026072100060001,Brooklyn,11236,8083,119,1426 EAST 87 STREET,2026-07-22,44456.83,MTGE
2026072100864001,Brooklyn,11205,1892,77,503 MYRTLE AVENUE,2026-07-22,10847.3,MTGE
2026072200823001,Queens,11434,12271,41,129-49 157 STREET,2026-07-22,39014.64,MTGE
2026072000470001,Brooklyn,11221,3382,37,494 CENTRAL AVENUE,2026-07-21,16624.19,MTGE
2026072000505001,Bronx,10469,4767,31,1609 ADEE AVENUE,2026-07-21,185571.97,MTGE
2026071800040001,Brooklyn,11233,1551,58,156 ROCKAWAY AVENUE,2026-07-21,26660.32,MTGE
2026071600011001,Queens,11412,12438,236,186-06 FOCH BOULEVARD,2026-07-20,16954.03,MTGE
2026071600637001,Brooklyn,11233,1539,14,142 HULL STREET,2026-07-20,34184.69,MTGE
2026071600742001,Queens,11419,9601,13,107-16 122 STREET,2026-07-20,62321.98,MTGE
2026071500432001,Queens,11412,11040,57,115-34 200TH STREET,2026-07-17,24091.22,MTGE
2026071600203001,Bronx,10466,5002,1,1704 BUSSING AVE,2026-07-17,0,MTGE
2026071600991001,Bronx,10469,4560,27,1154 ADEE AVENUE,2026-07-17,23925.07,MTGE
2026071400970001,Bronx,10466,4830,1,4043 LOWERRE PLACE,2026-07-16,72081.62,MTGE
2026071500132001,Queens,11412,12448,14,118-25 RIVERTON STREET,2026-07-16,27341.82,MTGE
2026071300289001,Brooklyn,11236,8071,26,29 PAERDEGAT 13 STREET,2026-07-15,37470.07,MTGE
2026071400068001,Queens,11412,10973,14,112-18 198 STREET,2026-07-15,19833.85,MTGE
2026071400111001,Queens,11417,9148,44,87-01 SUTTER AVENUE,2026-07-15,30283.01,MTGE
2026071000473002,Brooklyn,11224,7008,65,2869 WEST 32 STREET,2026-07-14,1102500,MTGE
2026071000494001,Brooklyn,11208,3910,49,127 RIDGEWOOD AVENUE,2026-07-14,33568.9,MTGE
2026071200034002,Queens,11416,9050,61,97-15 78TH STREET,2026-07-14,1162500,MTGE
2026071300090001,Bronx,10469,4577,18,3030 PAULDING AVENUE,2026-07-14,37004.02,MTGE
2026071300199001,Queens,11412,10961,537,11127 203RD ST,2026-07-14,34156.12,MTGE
2026071300229001,Queens,,11425,1159,151-31 SAPPHIRE STREET,2026-07-14,9706.78,MTGE
2026071300261001,Brooklyn,11207,4301,71,739 VERMONT STREET,2026-07-14,28305.38,MTGE
2026071000619001,Queens,11420,9550,42,112-15 109 AVENUE,2026-07-13,29803.46,MTGE
2026061600437001,Queens,11429,11214,24,217-40 112 ROAD,2026-07-09,26061.22,MTGE
2026070600471002,Queens,11419,9551,36,10764 114TH ST,2026-07-09,14328.59,MTGE
2026070801082001,Queens,11429,11244,15,225-34 MURDOCK AVENUE,2026-07-09,44895.77,MTGE
2026070801120001,Queens,11423,10868,27,10042 202 ND STREET,2026-07-09,34506.52,MTGE
2026070900120001,Queens,11434,12467,7,178-06 119 ROAD,2026-07-09,136560.43,MTGE
2026070600014001,Queens,11412,10390,1,115-19 NEWBURG STREET,2026-07-08,24723.32,MTGE
2026070600098001,Queens,11413,13041,13,18326 140TH AVE,2026-07-08,60868.37,MTGE
2026070600393002,Queens,11420,11688,10,116-14 113RD ST,2026-07-08,19078.04,MTGE
2026070600984001,Queens,11379,3055,59,71-26 66 DRIVE,2026-07-08,63580.3,MTGE
2026070700016001,Bronx,10466,4836,66,732 E 223RD ST,2026-07-08,47869.04,MTGE
2026070700017001,Bronx,10473,3510,39,457 CASTLE HILL AVE,2026-07-08,28005.54,MTGE
2026070700018001,Brooklyn,11234,7729,209,4619 AVE H,2026-07-08,48882.75,MTGE
2026070700135001,Brooklyn,11233,1524,51,37 MACDOUGAL ST,2026-07-08,2923.27,MTGE
2026070800017001,Queens,11416,9051,30,97-42 81ST STREET,2026-07-08,53851.91,MTGE
2026061001101002,Bronx,10466,4829,56,4046 LOWERRE PLACE,2026-07-06,1380000,MTGE
2026070100007001,Brooklyn,11207,3402,101,1031 HALSEY ST,2026-07-06,42006.29,MTGE
2026070100345001,Brooklyn,11236,8298,18,1631 EAST 95TH STREET,2026-07-06,25959.54,MTGE
2026070100545001,Brooklyn,11216,1812,75,163A MONROE STREET,2026-07-06,13452.63,MTGE
2026070100829001,Queens,11414,14198,43,162-33 96TH ST HOWARD BEACH NY 11414,2026-07-06,28336.92,MTGE
2026070200315002,Brooklyn,11208,4056,17,287 MONTAUK AVENUE,2026-07-06,91723.21,MTGE
2026063000340001,Queens,11423,10494,139,88-24 201ST STREET,2026-07-02,23046.98,MTGE
2026063000644001,Brooklyn,11236,8016,59,944 EAST 80TH STREET,2026-07-02,260970.68,MTGE
2026063000736001,Bronx,10467,4602,28,768 BARTHOLDI STREET,2026-07-02,35596.66,MTGE
2026062900032001,Queens,11433,12147,42,109-44 157 STREET,2026-07-01,67179.83,MTGE
2026062900127001,Queens,11422,13620,21,138-21 248 STREET,2026-07-01,20216.55,MTGE
2026062900318001,Brooklyn,11208,4274,14,689 ELDERT LANE,2026-07-01,41337.86,MTGE
2026062900392001,Brooklyn,11207,3775,103,413 WYONA STREET,2026-07-01,24503.93,MTGE
2026062900510001,Queens,11436,12109,37,146-08 130 AVENUE,2026-07-01,25136.39,MTGE
2026063000038001,Queens,11436,12106,49,12830 148TH ST,2026-07-01,0,MTGE
2026062601114001,Brooklyn,11212,3812,133,600 SACKMAN ST BROOKLYN NY 11212,2026-06-30,19198.99,MTGE
2026062600973001,Brooklyn,11220,854,55,349 59 STREET,2026-06-30,27768.51,MTGE
2026062500658001,Bronx,10460,2995,25,1511 BRYANT AVENUE,2026-06-30,14692.05,MTGE
2026062501084001,Queens,11412,11035,51,194-27 115 DRIVE,2026-06-30,37209.53,MTGE
2026062400961001,Brooklyn,11212,4692,77,451 EAST 95 STREET,2026-06-29,114109.9,MTGE
2026062401320001,Brooklyn,11210,5252,74,2915 GLENWOOD ROAD,2026-06-29,51145.67,MTGE
2026062500312001,Queens,11434,12220,38,153-19 122 AVENUE,2026-06-29,37654.49,MTGE
2026062500818002,Queens,11693,15317,26,20 WEST 12 ROAD,2026-06-29,727500,MTGE
2026062501201001,Bronx,10466,4978,32,4060 BRUNER AVE BRONX NY,2026-06-29,194662.38,MTGE
2026062200033001,Queens,11436,11979,20,11430 149TH STREET,2026-06-26,39741.24,MTGE
2026062300299001,Queens,11694,16236,24,163 BEACH 126 STREET,2026-06-26,19329.43,MTGE
2026062301063001,Brooklyn,11234,7842,13,2151 TROY AVENUE,2026-06-26,110564.9,MTGE
2026062400613001,Queens,11413,13470,68,14584 223RD STREET,2026-06-26,175259.24,MTGE
2026062200282001,Queens,11433,12156,10,110-01 153 STREET,2026-06-25,30270.65,MTGE
2026062200424001,Queens,11412,12438,131,186-07 BAISLEY BOULEVARD,2026-06-25,28996.23,MTGE
2026062300447001,Brooklyn,11233,1570,36,1871 EASTERN PARKWAY,2026-06-25,122966.01,MTGE
2026062300730001,Bronx,10466,4832,68,4112 CARPENTER AVENUE,2026-06-25,41646.12,MTGE
2026062301032001,Bronx,10466,5014,31,4135 GRACE AVENUE,2026-06-25,19361.44,MTGE
2026061700483001,Brooklyn,11234,7971,17,953 EAST 53 STREET,2026-06-23,43640.9,MTGE
2026061700483001,Brooklyn,11219,5659,60,953 53 STREET,2026-06-23,43640.9,MTGE
2026061500344001,Bronx,10466,5047,40,4381 BYRON AVENUE,2026-06-23,66179.88,MTGE
2026061600789001,Brooklyn,11236,8242,67,1722 ROCKAWAY PARKWAY,2026-06-23,41364.68,MTGE
2026061600834001,Brooklyn,11236,7908,86,DORSET ST BROOKLYN NY,2026-06-23,0,MTGE
2026061700754001,Queens,11434,12466,9,119-28 179 STREET,2026-06-23,17409.64,MTGE
2026061701026002,Queens,11433,10233,211,103 40 177TH STREET,2026-06-23,0,CORRM
2026061800229001,Bronx,10469,4869,13,1041 EAST 222 STREET,2026-06-23,16063,MTGE
2026061500973001,Bronx,10464,5626,261,46 EARLEY STREET,2026-06-22,26650.86,MTGE
2026061501029001,Queens,11434,12279,12,132-14 155TH STREET,2026-06-22,77249.63,MTGE
2026061501039001,Queens,11422,13749,1,241-03 149TH AVENUE,2026-06-22,24546.34,MTGE
2026061600466001,Brooklyn,11212,4646,49,995 LENOX ROAD,2026-06-22,20115.74,MTGE
2026061600604001,Queens,11420,11650,158,114-21 123 STREET,2026-06-22,14298.51,MTGE
2026061600650001,Brooklyn,11208,4479,16,502 MILFORD STREET,2026-06-22,27030.55,MTGE
2026061600696001,Bronx,10466,5034,19,4323 CARPENTER AVE,2026-06-22,49561.95,MTGE
2026061600851001,Bronx,10465,5592,78,210 SWINTON AVENUE,2026-06-22,39822.98,MTGE
2026061700383001,Queens,11434,12225,158,155-37 116 DRIVE,2026-06-22,16346.55,MTGE
2026061200086001,Brooklyn,11236,7990,141,622 E 86TH ST,2026-06-18,29654.72,MTGE
2026061200629001,Queens,11411,11265,89,221-06 114TH ROAD JAMAICA NY 11411,2026-06-17,58173.57,MTGE
2026061200735001,Brooklyn,11234,7825,117,1495 EAST 45 STREET,2026-06-17,44574.09,MTGE
2026061200987001,Queens,11692,16062,15,74-11 HILLMEYER AVENUE,2026-06-17,39994.29,MTGE
2026061100422001,Brooklyn,,4415,1228,122-05 FLATLANDS AVE,2026-06-16,11757.91,MTGE
2026061100846001,Queens,11434,12983,22,131-15 MATHEWSON COURT,2026-06-16,68312.13,MTGE
2026061200073001,Queens,11429,11128,34,111-20 WITTHOFF STREET,2026-06-16,16864,MTGE
2026061200081001,Queens,11433,10265,124,109-14 174 STREET,2026-06-16,21091.37,MTGE
2026061100049001,Bronx,10464,5631,100,60 BAY STREET,2026-06-15,67749.49,MTGE
2026061000344001,Queens,11413,13093,22,183-06 144TH AVENUE,2026-06-15,24634.61,MTGE
2026061000746001,Queens,11434,12403,75,115-29 172 STREET,2026-06-15,36824.52,MTGE
2026060900780001,Brooklyn,11221,1796,35,142 VAN BUREN STREET,2026-06-12,14065.75,MTGE
2026060500814001,Brooklyn,11212,3814,144,490 JUNIUS STREET,2026-06-11,45535.41,MTGE
2026060500931001,Queens,11417,9508,74,10414 103RD AVENUE,2026-06-11,54819.58,MTGE
2026060501064001,Queens,11411,11081,8,11618 NASHVILLE BLVD,2026-06-11,28113.67,MTGE
2026060600015001,Brooklyn,11234,7736,14,10089 E 52ND STREET BROOKLYN NY 11234,2026-06-11,162545.94,MTGE
2026060800294001,Queens,11385,3553,89,1633 NORMAN ST,2026-06-11,76292.9,MTGE
2026060800641001,Brooklyn,11203,4976,58,625 EAST 42 STREET,2026-06-11,21937.71,MTGE
2026060800801001,Queens,11434,12583,6,175-07 140 AVENUE,2026-06-11,31211.65,MTGE
2026060900563001,Bronx,10460,2955,130,818 ELSMERE PLACE,2026-06-11,79807.95,MTGE
2026061000184001,Bronx,10465,5595,71,239 HUNTINGTON AVE,2026-06-11,45128.36,MTGE
2026061000302001,Bronx,10466,4934,35,N/A ELY AVENUE,2026-06-11,13960.74,MTGE
2026061000302001,Bronx,10466,4934,134,3926 ELY AVENUE,2026-06-11,13960.74,MTGE
2026060400209001,Bronx,10469,4579,52,3011 LACONIA AVENUE,2026-06-10,23679.18,MTGE
2026060400840001,Queens,11434,13333,34,145 -41 178TH PL,2026-06-10,8756.23,MTGE
2026060400995001,Queens,11692,16058,64,72-29 HILLMEYER AVE ARVERNE NY 11692,2026-06-10,92208.7,MTGE
2026060401097001,Queens,11411,11271,89,114-59 227 STREET,2026-06-10,52545.83,MTGE
2026060401100001,Queens,11429,10984,3,112-41 207TH STREET,2026-06-10,38771.66,MTGE
2026060900313001,Bronx,10455,2683,125,572 FOX ST,2026-06-10,58218.1,MTGE
2026060301254001,Queens,11413,13166,26,135-19 231 STREET,2026-06-09,16860.54,MTGE
2026060400425001,Bronx,,3432,1813,168 HERON LANE,2026-06-09,32482.7,MTGE
2026060400449001,Brooklyn,11236,8187,146,726 EAST 100TH STREET,2026-06-09,59730.36,MTGE
2026060500009001,Brooklyn,11207,3885,202,7 BULWER PLACE,2026-06-09,10243.6,MTGE
2026060200865001,Brooklyn,11236,8295,12,1669 E 92ND STREET BROOKLYN NY 11236,2026-06-08,20801.07,MTGE
2026060200974001,Queens,11412,10982,208,112-37 205TH STREET,2026-06-08,41489.32,MTGE
2026060300581001,Brooklyn,11215,1112,15,12 WINDSOR PL,2026-06-08,0,MTGE
2026060101170001,Brooklyn,11207,3663,36,52 BRADFORD STREET,2026-06-05,92296.45,MTGE
2026060200663001,Queens,11413,13135,28,219-28 138 ROAD,2026-06-05,17648.72,MTGE
2026060200690001,Queens,11412,12604,37,118-50 190 STREET,2026-06-05,78557.65,MTGE
2026052800888001,Bronx,10465,5533,79,1062 QUINCY AVE,2026-06-05,20381.27,MTGE
2026053000010002,Queens,11412,12627,18,117-26 202 STREET,2026-06-05,11053.8,MTGE
2026060101164001,Brooklyn,11236,8213,57,936 EAST 106 STREET,2026-06-05,89065.39,MTGE
2026040200323001,Queens,11434,10315,18,114-33 180 STREET,2026-06-04,87445.03,MTGE
2026060200006001,Queens,11692,16033,48,547 BEACH 66TH ST,2026-06-04,20944.34,MTGE
2026052900004001,Bronx,10470,5118,100,4770 BARNES AVE,2026-06-04,5770.28,MTGE
2026060100298001,Brooklyn,11210,4985,82,681 E 38TH ST,2026-06-04,48236.56,MTGE
2026060100476001,Brooklyn,11207,4300,47,777 NEW JERSEY AVENUE,2026-06-04,24926.17,MTGE
2026060100670001,Queens,11435,11961,8,111-71 145 STREET,2026-06-04,11099.61,MTGE
2026060100737001,Bronx,10473,3497,24,444 THIERIOT AVENUE,2026-06-04,17089.68,MTGE
2026060100966001,Queens,11433,10293,7,176-16 SAYRES AVENUE,2026-06-04,19870.81,MTGE
2026060101153001,Queens,11413,12898,223,130-39 220 STREET,2026-06-04,9124.77,MTGE
2026052900355001,Queens,11435,10001,24,95-41 148 STREET,2026-06-03,8698.39,MTGE
2026052900485001,Queens,11436,12028,39,119 17 147TH STREET,2026-06-03,38439.52,MTGE
2026052800781001,Queens,11691,15625,44,297 BEACH 14TH STREET,2026-06-02,25773.68,MTGE
2026052900607001,Brooklyn,11236,8114,53,704 ROCKAWAY PARKWAY,2026-06-02,30669.09,MTGE
2026052700274001,Queens,11379,3030,66,72-15 JUNIPER VALLEY ROAD,2026-06-01,4041.37,MTGE
2026052700623001,Queens,11421,8988,109,92-28 93 AVENUE,2026-06-01,30406.75,MTGE
2026052800451001,Brooklyn,11236,8274,25,1577 REMSEN AVENUE,2026-06-01,27017.91,MTGE
2026052600616001,Queens,11691,15833,69,303 BEACH 42 STREET,2026-05-29,20060.12,MTGE
2026052600922002,Queens,11423,10485,119,90-19 204TH STREET,2026-05-29,1155000,MTGE
2026052700385001,Brooklyn,11236,8077,13,1320 EAST 87 STREET,2026-05-29,29324.42,MTGE
2026052700979001,Brooklyn,11236,8327,15,95-18 SEAVIEW COURT BROOKLYN NY 11236,2026-05-29,281423.73,MTGE
2026052700131001,Brooklyn,11235,7478,57,2681 BATCHELDER STREET,2026-05-29,27864.86,MTGE
2026052700876001,Brooklyn,11236,8230,41,1003 EAST 103 STREET,2026-05-29,12605.03,MTGE
2026052200648001,Queens,11422,13665,9,255-41 148TH AVENUE,2026-05-28,29383.6,MTGE
2026052600010001,Brooklyn,11234,7779,15,1233 EAST 53 STREET,2026-05-28,55093.7,MTGE
2026052600593001,Brooklyn,11234,7779,15,1233 EAST 53 STREET,2026-05-28,55093.7,MTGE
2026052200169001,Queens,11420,11685,15,11618 130TH STREET,2026-05-27,18161.58,MTGE
